,date,tz,city,idx,lat,lon,aqi,pm25,pm10,so2,no2,o3,co,h,t,r,w
354,2020-01-08 10:00:00,+08:00,"Daxing 526, Yaan (雅安大兴526台)",7006,30.0125,103.009,-,169,74,5.6,9.6,2.1,10.9,78.1,8.4,99.5,
355,2022-03-16 15:00:00,+08:00,"Jianan plant, Yaan (雅安建安厂)",7007,29.9899,103.0013,158,158,60,4.6,6.4,79.3,4.6,49.9,29.1,1.2,2
356,2022-03-16 15:00:00,+08:00,"City government, Yaan (雅安市政府)",7008,29.9834,103.0109,153,153,59,6.1,7.4,78.6,5.5,49.9,29.1,1.2,2
357,2022-03-16 15:00:00,+08:00,"Sichuan Agricultural University, Yaan (雅安川农大)",7009,29.9816,103.0001,134,134,58,4.1,4.2,83.8,4.6,49.9,29.1,1.2,2
358,2022-03-10 11:00:00,+08:00,"Dazhou Technical College, Dazhou (达州达州职业技术学院)",7010,31.2797,107.5272,142,142,66,2.6,27.5,2.1,5.5,68,18.2,99.5,2
359,2022-03-16 15:00:00,+08:00,"City Environmental Monitoring Station, Dazhou (达州市环境监测站)",7011,31.215,107.525,107,107,53,5.1,5.1,37.8,3.7,45,27.7,,1
360,2022-03-16 15:00:00,+08:00,"fènghuáng district, Dazhou (达州凤凰小区)",7012,31.2108,107.4967,93,93,58,2.1,8.3,40.7,4.6,45,27.7,,1
361,2022-03-16 15:00:00,+08:00,"dáxiàn jīguān hotel, Dazhou (达州达县机关宾馆)",7013,31.1956,107.5069,85,85,54,1.1,7.8,38.2,5.5,45,27.7,,1
362,2022-03-16 15:00:00,+08:00,Deyang (德阳),1559,31.126856,104.398021,114,114,68,4.6,6,55.2,5.5,45,29,,4.6
363,2022-03-16 15:00:00,+08:00,Mianyang (绵阳),1560,31.46745,104.679114,122,122,52,5.6,3.7,49.6,9.1,50.1,27.3,99,4
364,2022-03-16 15:00:00,+08:00,Yibin (宜宾),1562,28.751812,104.643382,132,132,61,7.1,10.1,96.2,7.3,46.1,28.6,0.2,2
365,2022-03-16 15:00:00,+08:00,Suining (遂宁),5711,30.532847,105.592898,76,76,38,4.1,2.3,44.7,6.4,73.1,23.7,0.3,4
366,2022-03-16 15:00:00,+08:00,Neijiang (内江),5712,29.580229,105.058433,102,102,43,11.2,13.8,83.8,8.2,48,28.8,0.6,2
367,2022-03-16 15:00:00,+08:00,Leshan (乐山),5713,29.552106,103.765568,132,132,58,3.6,10.1,80.6,5.5,100,9.4,99.9,2
368,2022-03-16 15:00:00,+08:00,Ziyang (资阳),5715,30.128901,104.627636,78,78,47,7.1,9.2,72.1,6.4,45,29,,4.6
369,2022-03-16 15:00:00,+08:00,"Old Town, Guangyuan (广元老城)",7044,32.4429,105.8242,109,109,60,3.1,12.4,22,8.2,64.2,24.2,99.2,2
370,2021-01-01 02:00:00,+08:00,"Nanba, Guangyuan (广元南坝)",7045,32.4246,105.8153,139,139,60,0.6,23.8,4.1,5.5,66.9,6.1,,1
371,2021-01-01 01:00:00,+08:00,"má yí guān, Meishan (眉山蟆颐观)",7976,30.0506,103.8986,127,127,50,4.6,14.2,10.6,5.5,80,3,,0.5
372,,+08:00,"nán kān gōngyuán, Bazhong (巴中南龛公园)",7047,31.8475,106.7583,-,,,,,,,,12.2,,
