,name,idx,lat,lon,url
3190,"dònglì gōngsī, Baiyin",7138,36.5481,104.1731,http://aqicn.org/city/china/baiyin/dongligongsi/
3191,"xiānrén yá, Tianshui",7139,34.3469,106.005,http://aqicn.org/city/china/tianshui/xianrenya/
3192,"jìnbù xiàng, Tianshui",7140,34.5814,105.7281,http://aqicn.org/city/china/tianshui/jinbuxiang/
3193,"Cultural Center, Tianshui",7141,34.5653,105.8614,http://aqicn.org/city/china/tianshui/wenhuaguan/
3194,"Monitoring station, Wuwei",7142,37.9311,102.6219,http://aqicn.org/city/china/wuwei/jiancezhan/
3195,"léi tái, Wuwei",7143,37.9358,102.6469,http://aqicn.org/city/china/wuwei/leitai/
3196,"Monitoring station, Zhangye",7144,38.9467,100.4686,http://aqicn.org/city/china/zhangye/jiancezhan/
3197,"kē wěi, Zhangye",7145,38.9389,100.4497,http://aqicn.org/city/china/zhangye/kewei/
3198,"Monitoring station, Pingliang",7146,35.5461,106.6692,http://aqicn.org/city/china/pingliang/jiancezhan/
3199,"bówùguǎn, Pingliang",7147,35.5294,106.7039,http://aqicn.org/city/china/pingliang/bowuguan/
3200,"cāng mén jiē zi zhàn, Jiuquan",7148,39.746,98.509,http://aqicn.org/city/china/jiuquan/cangmenjiezizhan/
3201,"fùkāng jiā shìjiè zi zhàn, Jiuquan",7149,39.7294,98.5023,http://aqicn.org/city/china/jiuquan/fukangjiashijiezizhan/
3202,"District Environmental Protection Bureau, Qingyang",7150,35.7289,107.6831,http://aqicn.org/city/china/qingyang/quhuanbaoju/
3203,"liáng mào zǒng gōngsī, Qingyang",7151,35.5236,107.6406,http://aqicn.org/city/china/qingyang/liangmaozonggongsi/
3204,"City EPA, Qingyang",7152,35.7067,107.6364,http://aqicn.org/city/china/qingyang/shihuanbaoju/
3205,"Stations (formerly the Food Authority), Dingxi",7153,35.5714,104.6228,http://aqicn.org/city/china/dingxi/jiancezhanyuanliangshiju/
3206,"South Peak Guest House (former crane factory), Dingxi",7154,35.5975,104.6169,http://aqicn.org/city/china/dingxi/nanfengzhaodaisuoyuanqizhongjichang/
3207,"hànwáng zhèn gù shuǐ zi, Longnan",7155,33.3261,105.0822,http://aqicn.org/city/china/longnan/hanwangzhengushuizi/
3208,"Forestry Bureau, Longnan",7156,,,
3209,"Environment protection office, Gannanzhou",7860,,,
3210,"Environment protection office, Linxiazhou",7861,35.6039,103.2139,http://aqicn.org/city/china/linxiazhou/huanbaoju/
3211,"Zhōu wěi dǎngxiào, Linxiazhou",7862,35.5997,103.2064,http://aqicn.org/city/china/linxiazhou/zhouweidangxiao/
3212,"Helanshan Maliankou, Yinchuan",1408,38.6016,105.9512,http://aqicn.org/city/china/yinchuan/helanshanmaliankou/
3213,"Ning'an street, Yinchuan",1409,38.4536,106.217,http://aqicn.org/city/china/yinchuan/ningandajie/
